timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB]
2026/07/19 10:45:31.925, 80, 77.06 W, 2353 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:32.926, 79, 82.54 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:33.927, 75, 82.41 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:34.927, 80, 80.26 W, 2353 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:35.928, 81, 77.77 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:36.928, 79, 78.39 W, 2353 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:37.929, 79, 77.31 W, 2411 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:38.930, 81, 82.66 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:39.930, 79, 82.87 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:40.931, 76, 79.39 W, 2353 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:41.931, 81, 79.28 W, 2353 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:42.932, 80, 78.01 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:43.934, 79, 78.41 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:44.934, 80, 83.32 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:45.935, 80, 82.94 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:46.935, 79, 78.38 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:47.936, 79, 78.83 W, 2346 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:48.936, 82, 78.11 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:49.937, 83, 78.77 W, 2379 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:45:50.938, 80, 82.51 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:51.939, 80, 83.23 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:52.939, 81, 78.21 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:53.940, 79, 78.82 W, 2340 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:54.940, 79, 78.37 W, 2353 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:55.941, 77, 77.70 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:56.942, 81, 83.72 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:57.943, 82, 83.04 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:58.943, 76, 78.62 W, 2333 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:59.943, 80, 77.82 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:46:00.944, 80, 77.29 W, 2353 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:46:01.945, 77, 76.54 W, 2346 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:46:02.946, 82, 83.61 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:46:03.946, 82, 83.16 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:46:04.947, 79, 79.26 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:46:05.947, 80, 78.05 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:46:06.947, 76, 77.73 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:46:07.948, 73, 47.87 W, 2431 MHz, [N/A], 94 %, [N/A]
2026/07/19 10:46:08.949, 73, 47.72 W, 2431 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:46:09.949, 73, 47.78 W, 2431 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:46:10.950, 73, 47.58 W, 2431 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:46:11.951, 73, 47.76 W, 2431 MHz, [N/A], 94 %, [N/A]
2026/07/19 10:46:12.951, 71, 32.27 W, 2424 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:46:13.952, 72, 47.18 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:46:14.952, 72, 47.58 W, 2444 MHz, [N/A], 94 %, [N/A]
2026/07/19 10:46:15.953, 72, 47.52 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:46:16.953, 72, 47.48 W, 2444 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:46:17.954, 69, 44.85 W, 2450 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:46:18.955, 71, 35.07 W, 2444 MHz, [N/A], 51 %, [N/A]
2026/07/19 10:46:19.955, 71, 47.05 W, 2450 MHz, [N/A], 94 %, [N/A]
2026/07/19 10:46:20.955, 71, 47.15 W, 2450 MHz, [N/A], 94 %, [N/A]
2026/07/19 10:46:21.956, 71, 47.16 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:46:22.957, 71, 47.27 W, 2450 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:46:23.958, 70, 40.58 W, 2424 MHz, [N/A], 75 %, [N/A]
2026/07/19 10:46:24.958, 66, 32.49 W, 2424 MHz, [N/A], 72 %, [N/A]
2026/07/19 10:46:25.959, 71, 48.01 W, 2450 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:46:26.959, 71, 50.53 W, 2450 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:46:27.960, 71, 50.56 W, 2450 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:46:28.960, 71, 50.68 W, 2450 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:46:29.961, 71, 50.48 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:46:30.961, 71, 50.40 W, 2444 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:46:31.962, 71, 50.30 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:46:32.962, 71, 50.34 W, 2444 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:46:33.963, 71, 50.39 W, 2444 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:46:34.963, 71, 50.36 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:46:35.964, 71, 50.43 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:46:36.964, 70, 50.22 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:46:37.965, 70, 45.83 W, 2444 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:46:38.965, 64, 19.65 W, 2411 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:46:39.965, 64, 22.97 W, 2424 MHz, [N/A], 84 %, [N/A]
2026/07/19 10:46:40.965, 63, 18.50 W, 2411 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:46:41.965, 62, 16.33 W, 2411 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:46:42.966, 62, 15.87 W, 2405 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:46:43.967, 61, 15.62 W, 2405 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:46:44.967, 61, 15.54 W, 2405 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:46:45.968, 60, 15.48 W, 2405 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:46:46.968, 61, 16.66 W, 2405 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:46:47.969, 60, 15.06 W, 2405 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:46:48.969, 59, 14.93 W, 2405 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:46:49.969, 65, 42.00 W, 2444 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:46:50.969, 65, 49.03 W, 2450 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:46:51.970, 66, 48.95 W, 2450 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:46:52.970, 66, 49.20 W, 2450 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:46:53.971, 67, 48.99 W, 2444 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:46:54.971, 67, 49.09 W, 2444 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:46:55.972, 67, 49.09 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:46:56.972, 67, 48.92 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:46:57.973, 67, 49.15 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:46:58.974, 67, 49.04 W, 2444 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:46:59.974, 67, 49.11 W, 2444 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:47:00.974, 67, 49.08 W, 2444 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:47:01.974, 67, 49.20 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:47:02.975, 65, 46.30 W, 2450 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:47:03.975, 68, 53.61 W, 2444 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:47:04.976, 68, 49.52 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:47:05.976, 68, 49.38 W, 2444 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:47:06.977, 68, 49.68 W, 2450 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:47:07.977, 68, 49.45 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:47:08.977, 68, 49.35 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:47:09.978, 68, 49.40 W, 2450 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:47:10.978, 68, 49.36 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:47:11.978, 68, 49.38 W, 2444 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:47:12.979, 68, 49.31 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:47:13.979, 68, 49.24 W, 2444 MHz, [N/A], 96 %, [N/A]
